"Year","ID","Month","Treatment","Species","Age","Sex","NV","NG","NDVI","Death_date","Season","PropGV","Month_AD","MY"
"2011","10-049","02","Carcass","Wildebeest","A","F",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Carcass","Wildebeest","A","M",1,1,0.389778571428571,2010-02-21,"Hot_wet",1,12,"2011/02-10-049"
"2011","10-049","02","Carcass","Wildebeest","SA","F",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Carcass","Wildebeest","SA","M",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Carcass","Zebra","A","F",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Carcass","Zebra","A","M",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Carcass","Zebra","SA","F",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Carcass","Zebra","SA","M",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Control","Wildebeest","A","F",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Control","Wildebeest","A","M",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Control","Wildebeest","SA","F",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Control","Wildebeest","SA","M",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Control","Zebra","A","F",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Control","Zebra","A","M",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Control","Zebra","SA","F",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","02","Control","Zebra","SA","M",0,0,0.389778571428571,2010-02-21,"Hot_wet",NA,12,"2011/02-10-049"
"2011","10-049","03","Carcass","Wildebeest","A","F",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Carcass","Wildebeest","A","M",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Carcass","Wildebeest","SA","F",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Carcass","Wildebeest","SA","M",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Carcass","Zebra","A","F",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Carcass","Zebra","A","M",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Carcass","Zebra","SA","F",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Carcass","Zebra","SA","M",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Control","Wildebeest","A","F",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Control","Wildebeest","A","M",1,0,0.497077419354839,2010-02-21,"Hot_wet",0,13,"2011/03-10-049"
"2011","10-049","03","Control","Wildebeest","SA","F",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Control","Wildebeest","SA","M",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Control","Zebra","A","F",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
"2011","10-049","03","Control","Zebra","A","M",1,0,0.497077419354839,2010-02-21,"Hot_wet",0,13,"2011/03-10-049"
"2011","10-049","03","Control","Zebra","SA","F",0,0,0.497077419354839,2010-02-21,"Hot_wet",NA,13,"2011/03-10-049"
